PSTAR: Stopping Powers and Range Tables for Protons

BONE, CORTICAL (ICRP)                                                   

Kinetic  	Electron.	Nuclear  	Total    	CSDA     	Projected	Detour	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	Range    	Range    	Factor	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	g/cm2    	g/cm2    	      	

2.750E+00	1.075E+02	7.008E-02	1.076E+02	1.517E-02	1.509E-02	0.9946	
3.000E+00	1.009E+02	6.476E-02	1.009E+02	1.757E-02	1.748E-02	0.9949	
3.500E+00	8.995E+01	5.628E-02	9.000E+01	2.283E-02	2.272E-02	0.9953	
4.000E+00	8.137E+01	4.983E-02	8.142E+01	2.868E-02	2.855E-02	0.9956	
4.500E+00	7.444E+01	4.474E-02	7.448E+01	3.511E-02	3.496E-02	0.9958	
5.000E+00	6.870E+01	4.062E-02	6.874E+01	4.210E-02	4.193E-02	0.9960	
5.500E+00	6.386E+01	3.722E-02	6.390E+01	4.965E-02	4.946E-02	0.9962	
6.000E+00	5.972E+01	3.436E-02	5.976E+01	5.775E-02	5.753E-02	0.9963	
6.500E+00	5.614E+01	3.192E-02	5.617E+01	6.638E-02	6.614E-02	0.9964	
7.000E+00	5.299E+01	2.981E-02	5.302E+01	7.555E-02	7.528E-02	0.9965	
7.500E+00	5.022E+01	2.797E-02	5.025E+01	8.524E-02	8.495E-02	0.9966	
8.000E+00	4.775E+01	2.635E-02	4.777E+01	9.545E-02	9.513E-02	0.9966	
8.500E+00	4.553E+01	2.491E-02	4.556E+01	1.062E-01	1.058E-01	0.9967	
9.000E+00	4.353E+01	2.363E-02	4.356E+01	1.174E-01	1.170E-01	0.9967	
9.500E+00	4.172E+01	2.247E-02	4.174E+01	1.291E-01	1.287E-01	0.9968	
1.000E+01	4.006E+01	2.143E-02	4.008E+01	1.414E-01	1.409E-01	0.9968	
1.250E+01	3.357E+01	1.741E-02	3.359E+01	2.098E-01	2.092E-01	0.9970	
1.500E+01	2.903E+01	1.469E-02	2.904E+01	2.901E-01	2.892E-01	0.9971	
1.750E+01	2.566E+01	1.272E-02	2.568E+01	3.818E-01	3.808E-01	0.9972	
2.000E+01	2.306E+01	1.123E-02	2.307E+01	4.847E-01	4.834E-01	0.9973	
2.500E+01	1.928E+01	9.107E-03	1.929E+01	7.228E-01	7.209E-01	0.9974	
2.750E+01	1.787E+01	8.327E-03	1.788E+01	8.575E-01	8.553E-01	0.9974	
3.000E+01	1.667E+01	7.673E-03	1.667E+01	1.002E+00	9.999E-01	0.9974	
3.500E+01	1.473E+01	6.637E-03	1.474E+01	1.322E+00	1.319E+00	0.9975	
4.000E+01	1.325E+01	5.852E-03	1.326E+01	1.680E+00	1.676E+00	0.9976	
4.500E+01	1.207E+01	5.236E-03	1.207E+01	2.076E+00	2.071E+00	0.9976	
5.000E+01	1.111E+01	4.740E-03	1.111E+01	2.508E+00	2.502E+00	0.9976	
5.500E+01	1.031E+01	4.332E-03	1.031E+01	2.976E+00	2.969E+00	0.9977	
6.000E+01	9.631E+00	3.990E-03	9.635E+00	3.478E+00	3.470E+00	0.9977	
6.500E+01	9.052E+00	3.699E-03	9.055E+00	4.013E+00	4.004E+00	0.9977	
7.000E+01	8.549E+00	3.448E-03	8.553E+00	4.582E+00	4.572E+00	0.9978	
7.500E+01	8.110E+00	3.230E-03	8.113E+00	5.182E+00	5.171E+00	0.9978	
8.000E+01	7.721E+00	3.038E-03	7.724E+00	5.814E+00	5.801E+00	0.9978	
8.500E+01	7.376E+00	2.869E-03	7.378E+00	6.477E+00	6.463E+00	0.9978	
9.000E+01	7.066E+00	2.717E-03	7.069E+00	7.169E+00	7.154E+00	0.9978	
9.500E+01	6.787E+00	2.582E-03	6.789E+00	7.891E+00	7.874E+00	0.9979	
1.000E+02	6.534E+00	2.459E-03	6.536E+00	8.642E+00	8.624E+00	0.9979	
1.250E+02	5.558E+00	1.990E-03	5.560E+00	1.281E+01	1.278E+01	0.9979	
1.500E+02	4.892E+00	1.674E-03	4.893E+00	1.762E+01	1.758E+01	0.9980	
1.750E+02	4.408E+00	1.446E-03	4.410E+00	2.301E+01	2.296E+01	0.9981	
2.000E+02	4.042E+00	1.273E-03	4.043E+00	2.894E+01	2.888E+01	0.9981	
2.250E+02	3.754E+00	1.139E-03	3.755E+00	3.536E+01	3.530E+01	0.9981	
2.500E+02	3.522E+00	1.030E-03	3.523E+00	4.224E+01	4.217E+01	0.9982	
2.750E+02	3.332E+00	9.410E-04	3.333E+00	4.954E+01	4.946E+01	0.9982	
3.000E+02	3.173E+00	8.664E-04	3.174E+00	5.723E+01	5.713E+01	0.9983	
3.500E+02	2.923E+00	7.484E-04	2.924E+00	7.368E+01	7.355E+01	0.9983	
4.000E+02	2.736E+00	6.593E-04	2.737E+00	9.138E+01	9.123E+01	0.9984	
4.500E+02	2.592E+00	5.896E-04	2.593E+00	1.102E+02	1.100E+02	0.9984	
5.000E+02	2.478E+00	5.335E-04	2.479E+00	1.299E+02	1.297E+02	0.9985	
5.500E+02	2.386E+00	4.874E-04	2.386E+00	1.505E+02	1.502E+02	0.9985	
6.000E+02	2.310E+00	4.488E-04	2.311E+00	1.718E+02	1.715E+02	0.9985	
6.500E+02	2.246E+00	4.160E-04	2.246E+00	1.937E+02	1.935E+02	0.9986	
7.000E+02	2.192E+00	3.878E-04	2.192E+00	2.163E+02	2.160E+02	0.9986	
7.500E+02	2.145E+00	3.633E-04	2.146E+00	2.393E+02	2.390E+02	0.9986	
8.000E+02	2.105E+00	3.417E-04	2.106E+00	2.629E+02	2.625E+02	0.9987	
8.500E+02	2.071E+00	3.227E-04	2.071E+00	2.868E+02	2.864E+02	0.9987	
