Kinetic Energy MeV	Total Stp. Pow. MeV cm2/g
2.00E+01	2.70E+01
2.50E+01	2.25E+01
2.75E+01	2.08E+01
3.00E+01	1.94E+01
3.50E+01	1.71E+01
4.00E+01	1.53E+01
4.50E+01	1.40E+01
5.00E+01	1.28E+01
5.50E+01	1.19E+01
6.00E+01	1.11E+01
6.50E+01	1.04E+01
7.00E+01	9.84E+00
7.50E+01	9.33E+00
8.00E+01	8.87E+00
8.50E+01	8.47E+00
9.00E+01	8.11E+00
9.50E+01	7.79E+00
1.00E+02	7.50E+00
1.25E+02	6.36E+00
1.50E+02	5.59E+00
1.75E+02	5.04E+00
2.00E+02	4.61E+00
2.25E+02	4.28E+00
2.50E+02	4.01E+00
5.00E-01	-1.00E+00
